,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
82,M2S,AllTerrainM600FS,3499.0,59.5,500.0,40.0,60.0,672.0
83,Magnum,Ui6,1699.0,60.1,500.0,25.0,55.0,624.0
84,Revolve,60+Miles,1950.0,85.5,500.0,60.0,80.0,1680.0
85,Nakto,Camel,649.0,60.0,250.0,10.0,25.0,374.4
86,M2S,AllTerrainScout,1399.0,65.12,500.0,15.0,34.0,500.0
87,Giant,TranceE+1Pro,5565.0,54.6,250.0,30.0,60.0,496.8
88,GoPower,Express2019,1250.0,60.2,500.0,20.0,35.0,480.0
89,Magnum,LowRider,2249.0,59.9,500.0,25.0,55.0,624.0
90,Qualisports,Dolphin,1299.0,47.7,350.0,20.0,60.0,504.0
91,E-Lux,MalibuGT,2995.0,67.2,750.0,45.0,70.0,1008.0
92,Raleigh,Retroglide2.0iE,1999.0,47.7,250.0,30.0,60.0,396.0
93,NCM,Aspen,1699.0,59.3,500.0,30.0,65.0,624.0
94,AddMotoR,MOTANM-330P7,2799.0,74.1,750.0,30.0,55.0,696.0
95,Magnum,Ui6+,1699.0,58.9,500.0,25.0,55.0,624.0
96,EUNORAU,NEW-TRIKE,2299.0,80.5,500.0,10.0,25.0,500.0
97,Giant,LaFreeE+2,2000.0,51.9,250.0,30.0,65.0,409.0
98,Xtracycle,RFA,4497.0,64.0,250.0,30.0,160.0,482.4
99,BatchBicycles,E-Commuter,1999.0,47.0,250.0,30.0,80.0,400.0
100,EUNORAU,E-FAT-MN,1199.0,63.6,500.0,20.0,35.0,500.0
101,e-Joe,EpikSwan350,1499.0,56.9,350.0,25.0,50.0,504.0
102,Tower,BeachBum,1695.0,51.5,500.0,25.0,60.0,672.0
103,LivCycles,IntrigueE+1Pro,4830.0,53.2,250.0,30.0,60.0,496.8
104,Ancheer,PowerPlusElectricMountainBike,799.0,47.5,250.0,8.0,18.0,288.0
105,JupiterBike,Discovery,1295.0,42.0,250.0,8.0,30.0,187.0
106,MODBIKES,City+,1990.0,58.8,350.0,25.0,45.0,576.0
107,Raleigh,Venture2.0iE,2599.0,48.1,250.0,37.0,118.0,482.4
108,RadPowerBikes,RadRunner,1199.0,64.0,750.0,25.0,45.0,672.0
109,Haibike,SDUROFULLSEVENLT9.0,5599.0,56.0,250.0,30.0,60.0,482.4
110,EVELO,AuroraHub-Drive,2199.0,65.2,750.0,25.0,40.0,500.0
111,RadPowerBikes,RadBurro,5799.0,227.0,750.0,40.0,80.0,2520.0
112,Amego,InfiniteStep-Thru,1999.0,58.7,500.0,30.0,65.0,624.0
113,MODBIKES,Easy,3290.0,69.8,500.0,25.0,45.0,624.0
114,RadPowerBikes,RadRunner,1299.0,64.0,250.0,30.0,50.0,672.0
115,SparkBikes,Blade,1699.0,65.9,500.0,30.0,60.0,816.0
116,Blix,Sol,1499.0,64.5,500.0,19.0,40.0,672.0
117,ElectricBikeCompany,ModelX,1499.0,53.0,500.0,28.0,70.0,556.8
118,BUZZ,BUZZ,1499.0,57.3,350.0,13.0,30.0,374.0
119,EVELO,AriesMid-Drive,3499.0,62.2,750.0,25.0,40.0,500.0
120,Blix,Aveny,1599.0,54.0,500.0,19.0,40.0,672.0
121,EVELO,AriesHub-Drive,2499.0,62.2,750.0,25.0,40.0,500.0
122,EG,Geneva500EX,2599.0,65.0,500.0,30.0,60.0,672.0
123,EMOJO,Panther,2199.0,66.7,500.0,25.0,45.0,499.2
124,MODBIKES,Berlin,2590.0,54.0,350.0,25.0,60.0,417.6
125,Motiv,Sherpa,2499.0,70.2,500.0,35.0,60.0,768.0
126,VintageElectric,Roadster,6995.0,85.5,750.0,30.0,75.0,1128.0
127,Blix,Vika+,1599.0,54.8,500.0,19.0,40.0,672.0
128,Raleigh,MisceoiE,1799.0,55.1,250.0,15.0,50.0,417.6
129,BULLS,E-COREEVOAMDi227.5+,6899.0,57.4,250.0,40.0,90.0,748.8
130,BULLS,E-COREEVOAMDi227.5+,6899.0,57.4,250.0,40.0,90.0,748.8
131,ElectricBikeTechnologies,ElectricFoldingBike,2600.0,54.8,350.0,12.0,25.0,336.0
132,Raleigh,TokuliE,2999.0,50.2,350.0,30.0,65.0,396.0
133,ElectricBikeCompany,ModelY,1499.0,57.7,500.0,25.0,50.0,504.0
134,Wildsyde,TheBeast,1995.0,62.0,500.0,24.0,40.0,468.0
135,EnzoeBikes,FoldingElectricBike,1850.0,49.5,350.0,20.0,40.0,374.4
136,Haibike,XDURONDURO3.0,5299.0,56.3,250.0,30.0,60.0,482.4
137,EG,Athens350,1299.0,53.2,350.0,20.0,40.0,360.0
138,Haibike,SDUROTrekkingS9.0,4699.0,59.3,350.0,30.0,110.0,482.4
139,Qualisports,Nemo,899.0,34.8,250.0,10.0,30.0,252.0
140,SparkBikes,SparkRX,2399.0,61.0,500.0,30.0,80.0,816.0
141,ElectricBikeTechnolgies,ElectricCruiserBike,2600.0,59.4,500.0,25.0,50.0,672.0
142,EMOJO,CaddyTrike,2799.0,90.1,500.0,30.0,65.0,720.0
143,ElectricBikeCompany,ModelC,1999.0,56.8,500.0,25.0,50.0,556.8
144,E-Lux,MalibuSport,2295.0,60.8,500.0,30.0,55.0,672.0
145,Riese&amp;Müller,ChargerGHVario,5817.0,63.1,350.0,30.0,160.0,482.4
146,RamboBikes,750XPCarbon,3999.0,68.0,750.0,15.0,556.0,500.0
147,Biktrix,Stunner-X,1999.0,72.0,750.0,12.0,30.0,576.0
148,ElectricBikeTechnologies,ElectricEZ-3HD,2968.0,99.0,500.0,10.0,20.0,480.0
149,NCM,MoscowPlus,1899.0,56.1,500.0,40.0,95.0,768.0
150,ElectricBikeTechnologies,ElectricCityBike,2800.0,59.8,350.0,25.0,50.0,672.0
151,Amego,Infinite,1999.0,58.4,500.0,30.0,65.0,624.0
152,RamboBikes,75026-Inch,2699.0,63.8,750.0,15.0,40.0,500.0
153,SparkBikes,SparkMini,1599.0,63.4,500.0,30.0,60.0,816.0
154,ElectricBikeTechnologies,ElectricSunTraditionalTricycle,1683.0,79.0,500.0,12.0,26.0,360.0
155,CIVIBIKES,Runabout,1499.0,59.0,500.0,15.0,30.0,696.0
156,ElectricBikeTechnologies,ElectricEcoDeltaTrike,2108.0,72.0,500.0,15.0,35.0,360.0
157,VintageElectric,Scrambler,6995.0,85.5,750.0,30.0,75.0,1128.0
158,Biktrix,StunnerLT,1999.0,70.5,750.0,13.0,35.0,500.0
159,VintageElectric,Rally,4995.0,59.0,750.0,5.0,40.0,500.0
160,VintageElectric,Rally,4995.0,59.0,750.0,5.0,40.0,500.0
161,Biktrix,JuggernautClassicHD,2599.0,75.0,1000.0,9.0,32.0,576.0
162,RockyMountain,InstinctPowerplay,5299.0,53.0,250.0,15.0,45.0,500.0
163,Biktrix,KuttyLT,1899.0,61.6,750.0,15.0,35.0,556.8
164,LibertyTrike,ElectricTricycle,1498.0,80.0,500.0,15.0,35.0,288.0
165,RamboBikes,R1000XPC,4699.0,69.3,1000.0,11.0,35.0,696.0
166,Aventon,Pace350,999.0,46.1,350.0,25.0,50.0,417.6
167,Gepida,FastidaX10,3995.0,53.5,250.0,37.0,92.0,482.4
168,RockyMountain,AltitudePowerplay,9199.0,51.7,250.0,15.0,45.0,500.0
169,PivotCycles,Shuttle,9999.0,46.9,250.0,30.0,60.0,500.0
170,Biktrix,Stunner,2199.0,64.0,750.0,12.0,30.0,576.0
171,FLX,Trail,2699.0,44.5,500.0,20.0,50.0,500.0
172,Yuba,Supermarché,5999.0,78.0,350.0,30.0,60.0,482.4
173,FLX,Roadster,1999.0,41.5,500.0,20.0,50.0,500.0
174,Specialized,TurboVado5.0,5150.0,52.6,250.0,30.0,75.0,604.8
175,Riese&amp;Müller,SuperchargerGXRohloffHS,8759.0,67.2,350.0,60.0,160.0,964.8
176,Specialized,TurboComo5.0,4150.0,51.5,250.0,30.0,75.0,604.8
177,BULLS,TWENTY9EVO1,3899.0,53.8,250.0,30.0,85.0,482.4
178,Biktrix,JuggernautUltraFS,3399.0,77.3,750.0,9.0,30.0,696.0
179,Gepida,THORISXT10,4495.0,66.0,350.0,15.0,55.0,482.4
180,VoltBike,Outback,1699.0,61.8,500.0,20.0,45.0,696.0
181,BULLS,TWENTY8E45,4599.0,59.9,350.0,30.0,80.0,482.4
182,Specialized,TurboComo4.0,3350.0,48.7,250.0,25.0,60.0,504.0
183,EUNORAU,MAX-CARGO,1599.0,72.0,750.0,13.0,32.0,500.0
184,ArielRider,N-Class,1699.0,61.5,750.0,20.0,50.0,595.2
185,VoltBike,Urban,1199.0,51.8,350.0,20.0,50.0,468.0
186,Specialized,TurboKenevoExpert,7550.0,53.8,250.0,28.0,60.0,504.0
187,Specialized,TurboVado4.0,3550.0,52.9,250.0,25.0,60.0,504.0
